category,company_name,confidence,country,days_old,description,event_id,event_risk_score,published_at,recency_weight,severity,source
financial,Riverstone Hospitality,0.32,Singapore,4,Quarterly results showed a shortfall of a figure described as material against guidance.,EVT-1110,12.8,2026-07-21T18:30:00.000Z,1.0,2,Open Corporate Records
supply_chain,Sable Pharmaceuticals,0.88,United Arab Emirates,16,A component shortage forced a production slowdown across the western corridor.,EVT-1027,42.24,2026-07-09T18:30:00.000Z,0.8,3,Market Signals Digest
leadership,Peregrine Capital,0.84,Singapore,5,Two senior executives including the chief compliance officer exited within one quarter.,EVT-1046,33.6,2026-07-20T14:15:00.000Z,1.0,2,Global Risk Feed
leadership,Cobalt Financial Group,0.93,India,7,The chief compliance officer was placed on administrative leave.,EVT-1003,93.0,2026-07-18T15:00:00.000Z,1.0,5,Global Risk Feed
leadership,Sable Pharmaceuticals,0.91,Singapore,7,The chief financial officer stepped down pending an internal review.,EVT-1025,18.2,2026-07-18T18:30:00.000Z,1.0,1,Public Business Monitor
supply_chain,Meridian Health Systems,0.74,United Kingdom,28,Flooding in the metropolitan zone damaged warehousing capacity.,EVT-1039,35.52,2026-06-27T17:45:00.000Z,0.8,3,Global Risk Feed
legal_regulatory,Halcyon Insurance,0.3,United Arab Emirates,70,An environmental clearance for a facility was placed under review.,EVT-1096,7.2,2026-05-16T18:30:00.000Z,0.6,2,Industry Watch Daily
leadership,Zephyr Chemicals,0.66,United Arab Emirates,2,The managing director resigned with immediate effect.,EVT-1060,52.8,2026-07-23T07:15:00.000Z,1.0,4,Market Signals Digest
cybersecurity,Cedarwood Foods,0.84,Japan,5,A denial-of-service attack disrupted a third-party analytics vendor for several hours.,EVT-1137,67.2,2026-07-20T06:30:00.000Z,1.0,4,Market Signals Digest
supply_chain,Lumen Retail Group,0.23,United Arab Emirates,28,Port congestion in the northern belt delayed inbound shipments by several weeks.,EVT-1106,7.36,2026-06-27T05:30:00.000Z,0.8,2,Industry Watch Daily
financial,Quantum Payments,0.76,Singapore,87,Working capital pressure was cited alongside a writedown of roughly 12 percent of annual revenue.,EVT-1049,18.24,2026-04-29T18:30:00.000Z,0.6,2,Open Corporate Records
leadership,Vantage Auto Motors,0.63,India,98,A search was launched to replace the departing chief technology officer.,EVT-1074,22.68,2026-04-18T15:15:00.000Z,0.6,3,Industry Watch Daily
cybersecurity,Helios Semiconductors,0.85,Singapore,2,A phishing campaign targeting staff compromised credentials linked to a legacy scheduling server.,EVT-1020,85.0,2026-07-23T07:25:00.000Z,1.0,5,Public Business Monitor
legal_regulatory,Vantage Auto Motors,0.21,United Arab Emirates,23,The company received a show-cause notice from a sectoral authority.,EVT-1071,10.08,2026-07-02T15:18:00.000Z,0.8,3,National Filings Registry
leadership,Lumen Retail Group,0.53,Australia,40,Two senior executives including the regional president exited within one quarter.,EVT-1103,25.44,2026-06-15T07:30:00.000Z,0.6,4,Global Risk Feed
leadership,Aurora Energy Partners,0.65,Germany,5,The chief financial officer was placed on administrative leave.,EVT-1064,13.0,2026-07-20T14:25:00.000Z,1.0,1,Open Corporate Records
leadership,Cobalt Financial Group,0.84,Germany,3,The managing director resigned with immediate effect.,EVT-1002,67.2,2026-07-22T18:30:00.000Z,1.0,4,National Filings Registry
financial,Sable Pharmaceuticals,0.97,Singapore,3,A planned fundraise of an undisclosed amount was withdrawn before pricing.,EVT-1029,58.2,2026-07-22T13:25:00.000Z,1.0,3,Public Business Monitor
cybersecurity,Trident Marine Services,0.62,United Arab Emirates,5,The company confirmed a data breach originating from the corporate email environment.,EVT-1097,37.2,2026-07-20T00:00:00.000Z,1.0,3,Industry Watch Daily
legal_regulatory,Meridian Health Systems,0.8,United Kingdom,24,The company disclosed an ongoing tax assessment dispute.,EVT-1033,51.2,2026-07-01T18:30:00.000Z,0.8,4,
fraud_reputation,Cobalt Financial Group,0.98,Germany,123,Allegations of misleading marketing claims drew public criticism.,EVT-1007,35.28,2026-03-24T18:30:00.000Z,0.6,3,Industry Watch Daily
